Rank,City,County,State,Country,RentIndex,GroceriesIndex,LocalPurchasingPowerIndex,Median,Lat,Lng
4240,Nashville,Appling County,GA,United States,49.17,64.1,136.29,40404,31.2406903,-83.2961258
4290,New Orleans,Acadia Parish,LA,United States,41.21,67,106.74,15203,29.9235307,-90.0464711
4356,New York,Albany County,NY,United States,100,100,100,68128,40.641524,-73.9416243
4501,Oakland,Alameda County,CA,United States,77.14,77.54,137.74,63541,37.7408161,-122.1621741
4562,Oklahoma City,Adair County,OK,United States,25.72,60.18,136.21,300000,35.355958,-97.6230996
4628,Olympia,Adams County,WA,United States,40.4,60.02,135.82,54810,47.0447883,-122.8734533
4636,Orlando,Orange County,FL,United States,38.43,68.5,130.1,36551,28.55431,-81.299455
4683,Peoria,Apache County,AZ,United States,25.55,68.44,118.14,37353,33.6294009,-112.2828515
4712,Philadelphia,Adams County,MS,United States,49.35,74.58,109.34,51949,32.8213105,-88.9902859
4890,Phoenix,Apache County,AZ,United States,33.65,56.58,146.15,51503,32.8913628,-109.5331779
5017,Pittsburgh,Allegheny County,PA,United States,38.23,71.89,114.28,49013,40.357667,-79.905397
5108,Portland,Fairfield County,CT,United States,42.4,72.45,122.77,77114,41.5787389,-72.6337837
5184,Raleigh,Smith County,MS,United States,36.18,71.88,155.96,33330,32.034724,-89.525732
5223,Reno,Washoe County,NV,United States,38.03,51.96,136.81,93615,39.516172,-119.923037
5250,Richmond,Contra Costa County,CA,United States,35.24,63.54,132.62,31359,37.965271,-122.370668
5335,Rochester,Adams County,IL,United States,30.81,69.88,91.12,300000,39.7598226,-89.4921425
5418,Sacramento,Sacramento County,CA,United States,44.29,69.09,145.88,49743,38.566592,-121.468632
5484,Saint Louis,Alcona County,MI,United States,29.42,65.14,149.05,39740,43.4111733,-84.6112502
5486,Saint Paul,Aitkin County,MN,United States,45.24,70.22,111.58,19592,44.9569236,-93.0994839
5517,Salem,Autauga County,AL,United States,28.93,61.63,125.24,51524,32.5985333,-85.1564072
5558,Salt Lake City,Beaver County,UT,United States,35.8,55.93,150.76,85573,40.7803333,-111.8737411
5593,San Antonio,Bexar County,TX,United States,31.26,55.2,150.96,82298,29.599214,-98.485542
5728,San Diego,Alameda County,CA,United States,61.06,64.11,144.91,122111,32.7530051,-117.1858954
5832,San Francisco,Alameda County,CA,United States,106.49,101.93,125.95,82929,37.8016201,-122.4156811
5909,San Jose,Alameda County,CA,United States,76.61,71.1,170.91,300000,37.3584848,-121.89276
5982,Santa Barbara,Alameda County,CA,United States,68.66,67.52,124.41,300000,34.446327,-119.7788151
5996,Santa Rosa,Alameda County,CA,United States,56.69,84.35,116.47,22157,38.3933396,-122.7012564
6015,Seattle,Adams County,WA,United States,64.7,83.72,140,28154,47.7225472,-122.2818937
6080,Spokane,Christian County,MO,United States,28.33,59.19,124.45,300000,36.863219,-93.305568
6109,Springfield,Sangamon County,IL,United States,18.66,60.68,102.88,97482,39.778704,-89.683956
6201,Syracuse,Kosciusko County,IN,United States,33.6,63.81,94.96,44768,41.420611,-85.749422
6228,Tacoma,Pierce County,WA,United States,38.62,71.42,130.05,40623,47.173402,-122.412024
6260,Tallahassee,Alachua County,FL,United States,26.47,71.3,128.82,39098,30.4570859,-84.2837233
6284,Tampa,Hillsborough County,FL,United States,39.54,65.38,140.97,62089,28.070996,-82.562173
6362,Toledo,Cumberland County,IL,United States,21.26,50.89,125.57,37389,39.272387,-88.241628
6405,Tucson,Pima County,AZ,United States,23.63,52.48,122.68,50113,32.484902,-110.899633
6483,Tulsa,Adair County,OK,United States,26.87,59.49,129.54,52837,36.05548,-96.0532795
6527,Vancouver,Baker County,OR,United States,35.97,50.54,153.07,44959,45.6275145,-122.7161229
6556,Virginia Beach,Accomack County,VA,United States,35.84,62.06,161.28,57119,36.8525795,-76.1337231
6596,Washington,District of,DC,United States,70.28,86.63,131.53,71044,38.904103,-77.017229
6687,West Palm Beach,Palm Beach County,FL,United States,42.16,70.55,119.13,51882,26.690963,-80.121794
6715,Wichita,Allen County,KS,United States,23.45,57.3,135.99,51201,37.7161607,-97.3534348
